Manual_ID,project_name,createTime,publishTime,capitalSourceName,digest,fdid,Tender_type,project_url
4801,Procurement of 0613-234025204333 40T vibration impact test bench(1),2023-09-08,2023-09-08,Currency,"0613-234025204333,40T vibration impact test bench",ff808081870df1e9018a73fde1277cc3,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a73fde1277cc3.html
4802,Procurement of 0720-2340zbzx0180/01 Continuous pipe operation locomotive chassis(46ton)(2),2023-09-08,2023-09-08,Currency,"0720-2340zbzx0180/01,Continuous pipe operation locomotive chassis(46ton)",ff808081870df1e9018a73fde1267cbb,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a73fde1267cbb.html
4803,Procurement of 0730-234011SZ0291/02 WuXi SCC Project-Vertical continuous hole filling electroplating machine(1),2023-09-08,2023-09-08,Currency,"0730-234011SZ0291/02,WuXi SCC Project-Vertical continuous hole filling electroplating machine",ff808081870df1e9018a73fde1267cb3,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a73fde1267cb3.html
4804,Procurement of 3557-234RXJD23003/03 Medical consumables procurement of Hegang People's Hospital (imported)(1),2023-09-08,2023-09-08,Currency,"3557-234RXJD23003/03,Medical consumables procurement of Hegang People's Hospital (imported)",ff808081870df1e9018a73fc068b7a74,Tender Changes,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a73fc068b7a74.html
4805,Procurement of 1473-2340GK01H052 Automatic vacuum cleaning machine(1),2023-09-08,2023-09-08,Currency,"1473-2340GK01H052,Automatic vacuum cleaning machine",ff808081870df1e9018a73f7891e7603,Tender Awards,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a73f7891e7603.html
4806,Procurement of 0730-234011SZ0290/02 NanTong SCC Project -An insoluble anode(1),2023-09-08,2023-09-08,Currency,"0730-234011SZ0290/02,NanTong SCC Project -An insoluble anode",ff808081870df1e9018a73f690cc7504,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a73f690cc7504.html
4807,Procurement of 3557-234RXJD23003/01 Medical consumables procurement of Hegang People's Hospital (imported)(1),2023-09-08,2023-09-08,Currency,"3557-234RXJD23003/01,Medical consumables procurement of Hegang People's Hospital (imported)",ff808081870df1e9018a73f2e5487150,Tender Changes,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a73f2e5487150.html
4808,Procurement of 0705-234003001088/02 International Bid of Procurement of 2023 1st Medical Equipment for Shanghai Fifth Hospital(1),2023-09-08,2023-09-08,Currency,"0705-234003001088/02,International Bid of Procurement of 2023 1st Medical Equipment for Shanghai Fifth Hospital",ff808081870df1e9018a73ef384c6da7,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a73ef384c6da7.html
4809,Procurement of 0705-234003001088/01 International Bid of Procurement of 2023 1st Medical Equipment for Shanghai Fifth Hospital(1),2023-09-08,2023-09-08,Currency,"0705-234003001088/01,International Bid of Procurement of 2023 1st Medical Equipment for Shanghai Fifth Hospital",ff808081870df1e9018a73ef384d6db7,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a73ef384d6db7.html
4810,Procurement of 0705-234003001088/03 International Bid of Procurement of 2023 1st Medical Equipment for Shanghai Fifth Hospital(1),2023-09-08,2023-09-08,Currency,"0705-234003001088/03,International Bid of Procurement of 2023 1st Medical Equipment for Shanghai Fifth Hospital",ff808081870df1e9018a73ef384c6daf,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a73ef384c6daf.html
4811,"Procurement of 2465-234010100077 International Competitive Bidding of Dehydrogenation Catalyst for SM device of Tianjin Dagu Chemical Co., Ltd.(2)",2023-09-08,2023-09-08,Currency,"2465-234010100077,International Competitive Bidding of Dehydrogenation Catalyst for SM device of Tianjin Dagu Chemical Co., Ltd.",ff808081870df1e9018a73ee4fdf6cb8,Tender Changes,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a73ee4fdf6cb8.html
4812,Procurement of 4197-214BOEMY0001/189 BOE MIANYANG G6 AMOLED(FLEXIBLE) Production Line Project(1),2023-09-08,2023-09-08,Currency,"4197-214BOEMY0001/189,BOE MIANYANG G6 AMOLED(FLEXIBLE) Production Line Project",ff808081870df1e9018a73e7e38a661a,Tender Awards,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a73e7e38a661a.html
4813,Procurement of 4197-214BOEMY0001/188 BOE MIANYANG G6 AMOLED(FLEXIBLE) Production Line Project(1),2023-09-08,2023-09-08,Currency,"4197-214BOEMY0001/188,BOE MIANYANG G6 AMOLED(FLEXIBLE) Production Line Project",ff808081870df1e9018a73e7e38a6621,Tender Awards,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a73e7e38a6621.html
4814,Procurement of 0716-2150LZ200006/01 Gansu No.3 People's Hospital Medical and Elderly Care Demonstration Project Financed by KfW Loan(3),2023-09-08,2023-09-08,Foreign Loans,"0716-2150LZ200006/01,Gansu No.3 People's Hospital Medical and Elderly Care Demonstration Project Financed by KfW Loan",ff808081870df1e9018a73e3568a6169,Tender Changes,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a73e3568a6169.html
4815,Procurement of 4197-214BOENJ0001/43 Equipment Procurement Project of G8.5 TFT-LCD(2),2023-09-08,2023-09-08,Currency,"4197-214BOENJ0001/43,Equipment Procurement Project of G8.5 TFT-LCD",ff808081870df1e9018a73debffe5c6a,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a73debffe5c6a.html
4816,Procurement of 1214-234007217DZN Fully automatic microbial susceptibility analyzer Purchasing Project(1),2023-09-08,2023-09-08,Currency,"1214-234007217DZN,Fully automatic microbial susceptibility analyzer Purchasing Project",ff808081870df1e9018a73cc745449b9,Tender Awards,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a73cc745449b9.html
4817,Procurement of 0748-2340CA8002IK VHF(2),2023-09-08,2023-09-08,Currency,"0748-2340CA8002IK,VHF",ff808081870df1e9018a73caa96647d5,Tender Changes,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a73caa96647d5.html
4818,"Procurement of 0762-2340CBNB5014 Cixi Drainage Co., Ltd. Affiliated Pump Station Water Pump Procurement Project(1)",2023-09-08,2023-09-08,Currency,"0762-2340CBNB5014,Cixi Drainage Co., Ltd. Affiliated Pump Station Water Pump Procurement Project",ff808081870df1e9018a73c8beeb45cf,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a73c8beeb45cf.html
4819,Procurement of 0854-234HNWXZB042 ICB Procurement of Medical Equipment(1),2023-09-08,2023-09-08,Currency,"0854-234HNWXZB042,ICB Procurement of Medical Equipment",ff808081870df1e9018a73c7e26c44f7,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a73c7e26c44f7.html
4820,Procurement of 0739-2341G016CNPE GATE VALVES FOR JINDIAN PROJECT UNITS 1&2 and SANMEN NPP PROJECT UNITS 5&6(2),2023-09-08,2023-09-08,Currency,"0739-2341G016CNPE,GATE VALVES FOR JINDIAN PROJECT UNITS 1&2 and SANMEN NPP PROJECT UNITS 5&6",ff808081870df1e9018a73bdd3623aeb,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a73bdd3623aeb.html
4821,Procurement of 2746-234TDZC23J12 Tianjin University interdisciplinary public technical service platform single crystal X-ray diffractometer procurement project(1),2023-09-08,2023-09-08,Currency,"2746-234TDZC23J12,Tianjin University interdisciplinary public technical service platform single crystal X-ray diffractometer procurement project",ff808081870df1e9018a73b679d53387,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a73b679d53387.html
4822,Procurement of 4197-234BOECY0001/23 BOE G6 New Semiconductor Display Device Production Line Project(1),2023-09-08,2023-09-08,Currency,"4197-234BOECY0001/23,BOE G6 New Semiconductor Display Device Production Line Project",ff808081870df1e9018a73a4255d2131,Tender Awards,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a73a4255d2131.html
4823,Procurement of 4197-234BOECY0001/22 BOE G6 New Semiconductor Display Device Production Line Project(1),2023-09-08,2023-09-08,Currency,"4197-234BOECY0001/22,BOE G6 New Semiconductor Display Device Production Line Project",ff808081870df1e9018a73a4255e2137,Tender Awards,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202309/ff808081870df1e9018a73a4255e2137.html
